objectid,arastirmaci,eser_adi,muellif_adi,muellif_meslegi,muellif_olum,muellif_aile,muellif_memleketi,padisah_donemi,telif_tarih,eser_dili,eser_alt_turu,yazin_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_dili,baglantili_eser_tarihi,cilt_sayisi,takdim_hediye,tarihsel_kapsam,tematik_kapsam,kaynak,ilave_notlar,sayfa_no
tabib_0021,,Kimya-yi Tıbbî,Aziz İdris Bey «Mîralay-ı Kırımî»,"Tabib, kimyager, Mülkiye Tıbbiye Mektebi müdürü","1295 (1878)'de 38 yaşında vefat etmiştir, mezarı İstanbul'da Edirnekapısı haricindedir",,"Doğum yeri İstanbul, babasının doğum yeri Kırım olduğundan (Kırımî) ünvanı ile şöhret bulmuştur",,,,,,,,,,,,,,Kimya tarihine ve İslâm hükemâsının güzide hizmetlerine dair ciddî ma'lûmat içerir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Millî hamiyet ve ilmî kudretini tıbbın türkçeye tahvili işinde hakkı ile isbat ile akranları arasında mümtaz bir mevki kazanan Osmanlı tabiblerinin üstünlerindendir. Emrâz ve teşhis ilminde yed-i tûlâ sâhibi idi. Tıbbiye Mektebinde tahsilini ikmalden sonra dahili hastalıklar ve kimya ilmi tedrisi ile meşgul olduğu gibi kuruluş ve terakkisi hususunda büyük himmetleri geçmiş olan Mülkiye Tıbbiye Mektebine de müdür olmuştur. Kuruluşuna himmet ettiği ve âlimane başkanlığı altında açılan Cemiyet-i Tıbbiye-i Osmaniye (Osmanlı Tabibler Cemiyeti)'nde îrad ettiği nutuk meşhurdur.,201
tabib_0022,,Emraz-ı Umumîye,Aziz İdris Bey «Mîralay-ı Kırımî»,"Tabib, kimyager, Mülkiye Tıbbiye Mektebi müdürü",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,201
tabib_0023,,Kimya-i Uzvî,Ali Rıza Bey (Kimyağer-Kaymakam),"Tabib, kimyager",1322 (1906)'da vefat ederek Eyyüp Kabristanına defnedildi,,İstanbul'lu,,1304 (1888)'de tahsilini ikmal etti,,,,,,,,,,,,Kimya-yi Uzvî adında bir eseri vardır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Tıbbiye Mektebinin yetiştirdiği tabîblerin en zekîlerinden ve bilhassa kimyagerlerden olup İstanbulludur. Paris'e gönderilerek en meşhur kimyahanelerde bulunmuş ve en meşhur kimyagerlerin takdir ve dikkat nazarlarını çekmiştir. Dört sene sonra avdetinde Mülkî ve Askerî Tıbbiye Mekteblerinde «Kimya-yi Uzvî ve Tahlîlî» muallimliğine tayin olunarak kendisinden pek çok istifade olundu. Karahisar-ı sâhib maden suyunun tahlîl ve tayini mahiyetinde, Doldurma şartlarının ve şeklinin tatbikatında ve Kâğıthane sularının toplanması ve dağıtımlası hakkında vakıfane mütalâalar beyan etmiştir. Dârü'l-Fünûn uzvî ve hayatî kimya muallimliği ve Etfal Hastahanesi kimyagerliği uhdesine tevdi edilmişti.",201
tabib_0024,,,Âdil Bey «Baytar binbaşı»,Baytar tabib (veteriner),,,İstanbul'lu,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Baytar tabiblerin en hazîklerinden olup tahsilini ikmal için Fransa'ya gönderildiği zaman meşhur dâhî Pastör'ün en mümtaz talebelerinden Nokar'dan istifade etmiş ve üstün zekâsı ve gayreti dolayısıyla hocasının takdirine mazhar olmuştur.,201
tabib_0025,,Emrâz-ı Sarîye (eksik kalmış terceme),Âdil Bey «Baytar binbaşı»,Baytar tabib (veteriner),,,,,,,,Tercüme (yarım kalmış),,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Nokar'ın (Emraz-ı Sarîye)'sini terceme etmişse de basılmamıştır. İstanbul'a avdetinde «bakteriyoloji» hane'ye memur edilerek pek ciddi eserler meydana getirmiştir. Bunlardan başlıcası kendi araştırması mahsûlü olmak üzere bulduğu «veba-ı bakari» aşısıdır ki bugün medenî memleketlerin büyük kısmına İstanbul'dan ihracat vuku bulmaktadır.,202
tabib_0026,,Hayvanatı Ehliye Emrâz-ı Sâriyesi (tertib),Âdil Bey «Baytar binbaşı»,"Baytar tabib (veteriner), Mülkiye Baytar müdürü","1315 (1899)'da vefat etmiştir, Topkapı dışında medfundur",,,,1312 (1896),,,,,,,,,,,,Nokar'ın takrirlerinin bilâhare Baytar Ameliyat Mektebi müdürü Mehmet Galip Bey'in himmetiyle elde edilerek tertîb edilip basılmış hâli.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Orman ve Ziraat Nezaretine bağlı Mülkiye Baytar müdürü iken vefat etmiştir.,202
tabib_0027,,İlm-i Nebatat,Ali Paşa «Hacı»,"Tabib, nebatat (botanik) müderrisi",1333 (1917)'de irtihal ederek Kadıköy civarında Kızıltoprak'da Zühdipaşa Camii kabristanına defn edildi,,Kuşadalı,,1283 (1866)'da Askerî Tıbbiye Mektebi'nden mezun,,,,,,,,,,,,İki cild olarak yazılmıştır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Askerî Tıbbiye Mektebi'nde Nebatat İlmi muavini ve Mülkî Tıbbiye Mektebi'nde Nebatat muallimi tayin edilmiş ve ömrünün sonuna kadar nebatat (botanik) okutmuş, tetkîk etmiş ve nebatî ıstılâhların vaz'ına uğraşmış mütehassıs nebatçılardandır. Mülkî Tıbbiye Mektebi müdürlüğünde de bulunmuştur. Nakşibendî Tarikatine mensub, tekvâ sahibi, sükûneti galip, âlemin gürültüsünden ve dağdağasından uzak bir zat idi.",202
tabib_0028,,Yeni İlm-i Nebatat,Ali Paşa «Hacı»,"Tabib, nebatat (botanik) müderrisi",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bir cild olarak yazılmıştır.,202
tabib_0029,,Rehnümâ-i Garrasîn,Ali Paşa «Hacı»,"Tabib, nebatat (botanik) müderrisi",,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,202
tabib_0030,,Emrâz-ı Akliye,Avnî Bey «Avnî Mahmûd Bey»,Tabib (akıl hastalıkları mütehassısı),1341 (1925)'de Kasımpaşa'da fücceten irtihal ederek bir gün sonra Üsküdar'da Atîk Valide Camii'nin kıble cihetine ve mihrab arkasına defn edildi,,Üsküdar'lı,,,,,,,,,,,,,,Akıl hastalıklarına dair basılmış eseri.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Akıl hastalıklarında ihtisas derecesine yakın müeddeb bir tabîb olup uzun müddet Bîmarhane (Akıl Hastanesi) tabibliğinde hizmet etmiştir. Herkeste bir çeşit delilik olduğuna inanıyordu.,202
tabib_0031,,Terbiye-i Akliye,Avnî Bey «Avnî Mahmûd Bey»,Tabib (akıl hastalıkları mütehassısı),,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,202
tabib_0032,,Ravzatü'l-Asihhâ ve Devhatü'l-Etıbbâ,Bekir Zade Mehmed İbn-i İbrahim,Tabib,"1029 (1620), İstanbul'da vefat",,,Sultan Birinci Ahmed Han,,Arapça,,,,,,,,,,,"On devhâ (bab) üzere tertîb edilmiş tıbbî eser: 1-Mahiyetü's-Sıhha, 2-Mahiyetü'l-Hava ve tedbîrihi, 3-Fîma Yu'kelü ve Yuşrebu, 4-Fi'l-Hareketi ve's-Sukûni, 5-Fi'n-Nevmi, 6-Fî Hareketi'n-Nefsaniyyeti, 7-Fi'l-İstifrağı ve'l-İhtibası, 8-Fî'l-Cima'ı ve Menafi'ihi ve Mezarihi, 9-Fî Ahkâmi'l-Hamamı, 10-Fi'l-İnzarati mine'l-Hevadisi'r-Redîe.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Sultan Birinci Ahmed Han'ın husûsî tabiblerinden idi.,203
tabib_0033,,Musannif,Bekir Zade Mehmed İbn-i İbrahim,Tabib,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Başka bir tıbbî eseridir.,203
tabib_0034,,Tarih-i Tabi'î (terceme),Behçet Mustafa Efendi «Hekimbaşı»,"Tabib, Hekimbaşı","1248 (1832), Üsküdar'da Hazreti Nasuhî Dergâhı'nda medfun",,İstanbul'lu,,,,,Tercüme,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bufon'un eserinin tercemesidir.,203
tabib_0035,,Ameliyatı Tıbbîye (terceme),Behçet Mustafa Efendi «Hekimbaşı»,"Tabib, Hekimbaşı",,,,,,,,Tercüme,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Yukan'ın eserinin tercemesidir.,203
tabib_0036,,Hikmet-i Tabi'iyye (terceme),Behçet Mustafa Efendi «Hekimbaşı»,"Tabib, Hekimbaşı",,,,,,,,Tercüme,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Burne'nin eserinin tercemesidir; ayrıca yalnız başına da (Kolera) ve saireye dair bazı faydalı risaleler ile (Hezar Esrar)'ı te'lif etmiştir.,203
tabib_0037,,Mütala'a-yı Tabi'î (terceme),Behçet Mustafa Efendi «Hekimbaşı»,"Tabib, Hekimbaşı",,,,,,,,Tercüme,,,,,,,,,İngiltere filozoflarından Bonent'in felsefî eseri.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Büyük bir kısmını terceme etmiştir. Şaban 1827 (1242) senesinde te'sis ve küşad buyurulan Tıbhane-i Âmire ve Cerrahhane'nin te'sis devresinde pek çok hayırlı hizmetleri geçmiştir.,203
tabib_0038,,Mazharü't-Takdîs Bi-Huruci Taifeti'l-Fransis (terceme),Behçet Mustafa Efendi «Hekimbaşı»,"Tabib, Hekimbaşı",,,,,,,,Tercüme,,,,,,,,,Fransızların Mısır'a girişlerinden çıkışlarına kadar gündelik zuhura gelen Mısır olayları hakkında Mısır ulemasından Şeyh Abdurrahman Cebretî'nin kaleme aldığı tarihçenin tercemesidir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,203
tabib_0039,,Risale-i Ruhiye,Behçet Mustafa Efendi «Hekimbaşı»,"Tabib, Hekimbaşı",,,,,,,,,,,,,,,,,Çocuklarda zuhura gelen ve erginlik denilen bir nev'î cild hastalığı hakkındadır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",,203
tabib_0040,,Risale-i İllet-i Efrenc,Behçet Mustafa Efendi «Hekimbaşı»,"Tabib, Hekimbaşı",,,,,,,,Tercüme,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Tercemedir.,203
tabib_0041,,Ma'rifet-i Arz,Behçet Mustafa Efendi «Hekimbaşı»,"Tabib, Hekimbaşı",,,,,,,,Tercüme,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bufon'un eserinin tercemesidir.,203
tabib_0042,,Terceme-i Hayvanat,Behçet Mustafa Efendi «Hekimbaşı»,"Tabib, Hekimbaşı",,,,,,,,Tercüme,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bufon'un eserinin tercemesidir. Vefatı «Hakîm-başı idi Behçet Efendi gitdi Ukbaya» mısra'ının delâleti olan 1248 (1832)'dedir.,203
tabib_0043,,Mir'âtü's-Sıhhati fî Ahkâmi'l-İslâmiye,Ceyhun Ahmed Efendi,Tabib (binbaşı rütbesinde),"1314 (1897), Tesalya'da memuriyeti esnasında Yenişehir'de vefat etmiştir",,,,,Türkçe,,,,,,,,,,,Ahkâm ve evâmir-i İslâmiye'nin tıbba tatbiki vadisinde yazılan güzide eserlerdendir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Osmanlı tabiblerinin çalışkanlarından idi.,204
tabib_0044,,Précsptes religieux des Musulmans au vue de l'hygiens,Ceyhun Ahmed Efendi,Tabib (binbaşı rütbesinde),,,,,,Fransızca,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Bu vadide mütalâaya şayan tıbba ait faydalı eserlerdendir.,204
tabib_0045,,Risale-i Dil-pezîr ve Mekale-i Lâ-nezîr,Devâî,"Tabib, şiir yazma tabiatına malik",,,,Sultan Üçüncü Mehmed,994 (1586),Türkçe,,,,,,,,,,,Beşeriyetin ruh ve nefislerine dair eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı","Bu eserin sonunda «Hızır nev ki arz ider iki şefi, ilmi ebdân ve biri nazm-ı bedi» beyti ile bir de tıbbî bir eseri olduğunu tasrih ediyor.",204
tabib_0046,,Lügât-ı Müşkilât-ı Eczâ,Derviş Sipahi-i Lârendevî,"Tabib, Mevlevî müntesiblerinden",,,,,,,,,,,,,,,,,"Yirmisekiz bab üzerine müretteb tıbbî eser; eczâ'nın lügât isimlerini Arapça, Farsça, Yunanca, Berberîce ve Türkçe üzerine cedvelli bir tarzda yazmıştır.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Zamanına göre muktedir tabiblerden idi. Mısır ve sair yerlerde on sene seyahat etmiştir. Bir nüshası Bahçekapı Hamidiyye Kütübhanesi'nde mevcuttur. Şiirin sonunda memleketi Larende (Karaman) olarak belirtilir. Müşkilât-ı eczâ'nın tertibi heca harfleri sırasına göre mürettep olmadığından 1193 (1779)'da Üsküdarlı Mustafa Efendi tertîb ederek ismini (Müretteb Müfredât-ı Seyyahî) olarak değiştirmiştir.,204
tabib_0047,,Mecmeu't-Tıb,Derviş Sipahi-i Lârendevî,"Tabib, Mevlevî müntesiblerinden",,,,,,,,Manzum,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tabibler Faslı",Nüshası Nûruosmaniye Kütüphanesi'ndedir.,204
