objectid,arastirmaci,eser_adi,muellif_adi,muellif_meslegi,muellif_olum,muellif_aile,muellif_memleketi,padisah_donemi,telif_tarih,eser_dili,eser_alt_turu,yazin_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_dili,baglantili_eser_tarihi,cilt_sayisi,takdim_hediye,tarihsel_kapsam,tematik_kapsam,kaynak,ilave_notlar,sayfa_no
riyaziye_0011,,Coğrafya-i Osmanî,Ali Bey «Üstad-ı Ekremim Bursalı Ali Sulhî Bey»,Riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,252
riyaziye_0012,,Müsellesat-ı Müsteviye,Ali Bey «Üstad-ı Ekremim Bursalı Ali Sulhî Bey»,Riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,252
riyaziye_0013,,Müsellesat-ı Küreviye,Ali Bey «Üstad-ı Ekremim Bursalı Ali Sulhî Bey»,Riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,252
riyaziye_0014,,Zevâlî ve Gurubî Basîteler,Ali Bey «Üstad-ı Ekremim Bursalı Ali Sulhî Bey»,Riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,252
riyaziye_0015,,Testîh-i Küre ve Rub'-ı Mukenterat,Ali Bey «Üstad-ı Ekremim Bursalı Ali Sulhî Bey»,Riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,252
riyaziye_0016,,Tahvîl-i Tekavîm,Ali Bey «Üstad-ı Ekremim Bursalı Ali Sulhî Bey»,Riyaziyeci,,,,,,,,,,,,,,,,,"Tabiî sayıların beş aşar mertebe kadar yürütülmüş cib [SİNÜS] LOGARİTMASI ve lögaritmanın tarihçesi, cib [sinüs], (mümas) tanjan ve kontenjanlarını dakikası dakikasına trigonometrik çizgilerin lögaritmalarının beş aşâr (onda bir) mertebeye kadar yürütülmüş kıymetleri ile toplama ve çıkarma lögaritmaları ve 1:90 dereceye kadar devamı sayfa 253'te. olan kavislerin (yayların) dakikası dakikasına kirişlerinin tabiî miktarları ve tefazul-i irtifa' tayinlerinde kullanılmış ve yıldızların rasadına âit bâzı cedvelleri havî olup meslektaşlarından Ahmed Ziya Beyle müştereken tertibine himmet olunarak 1324 (1908) tarihinde Harbiye Mektebi Matbaasında basılmıştır.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,252
riyaziye_0017,,Tavzîhu'l-Edrâk (şerh),Abdullah Şükrü İbn-i Abdülkerim Konevî,"Riyaziyeci, irtifa' (yıldızların uzaklık ve yüksekliği) şubesi mütehassısı",,,Konya'lıdır,,1274 (1857),Arapça,,,Şerh,Teşrîhu'l-Eflâk,Bahaeddin Âmilî,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Bahaeddin Âmilî'nin (Teşrîhu'l-Eflâk) ismindeki eserini bu tarihte (Tavzîhu'l-Edrâk) ismi ile şerh etmiştir.,253
riyaziye_0018,,Tenkîhu'l-Eşkâl (şerh),Abdullah Şükrü İbn-i Abdülkerim Konevî,Riyaziyeci,,,,,,Arapça,,,Şerh,Tavzîhu'l-Edrâk,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",(Tavzîhu'l-Edrâk)'ı da bu defa (Tenkîhu'l-Eşkâl) ismi ile şerh etmiştir.,253
riyaziye_0019,,Rub'-ı Mecîb,Abdullah Şükrü İbn-i Abdülkerim Konevî,Riyaziyeci,,,,,,Arapça,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Bir risalesidir. Bu eserlerin hepsi Arapça olup bir yerde olmak üzere ta'lîk yazısı ile basılmıştır.,253
riyaziye_0020,,Mültekâ Şerhi (Muadil),Abdürrahim Maraşî «Abdürrahim Paşa»,Âlim ve riyaziyeci,"1149 tarihinde öldürülmüştür, Hazinedarlı Mahallesindeki kabristanda medfundur",,Maraş'ça «Sarı Ahmed Efendi-zâde» şöhreti ile tanınmıştır,,,,,,,,,,,,,,(Mülteka) şerhini Sultan Üçüncü Ahmed'e takdîm ederek mükâfatına mazhar olmuştur.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Osmanlı âlim ve riyaziyecilerinden olup İstanbul'a gelişinde müşahede edilen fazilet ve iktidarına mükafet olarak arzusu vech ile Maraş Valiliğine tayin kılınmak suretiyle vatanına dönmüş ve bir müddet sonra onu kıskanan bâzı kimseler tarafından öldürtülmüştür. Bir nüshası Üsküdar'da Selimiye Kütübhanesinde vardır.,253
riyaziye_0021,,Dürer'in bâzı noktalarına hâşiyesi,Abdürrahim Maraşî «Abdürrahim Paşa»,Âlim ve riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,253
riyaziye_0022,,Kaside-i Münferice Şerhi (Türkçe),Abdürrahim Maraşî «Abdürrahim Paşa»,Âlim ve riyaziyeci,,,,,,Türkçe,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,253
riyaziye_0023,,Kaside-i Emâlî Şerhi,Abdürrahim Maraşî «Abdürrahim Paşa»,Âlim ve riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Mükemmel bir şerhtir.,253
riyaziye_0024,,Hulâsatü'l-Hisab Şerhi,Abdürrahim Maraşî «Abdürrahim Paşa»,Âlim ve riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,253
riyaziye_0025,,Bahâîyye Şerhleri,Abdürrahim Maraşî «Abdürrahim Paşa»,Âlim ve riyaziyeci,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Babası olan Ebu Bekir Ahmed Efendi de fukahâdan bir zât olup Şâfiî fıkhının furu'una dâir (Tertîbü'l-Aksam Alâ Mezhebi'l-İmâmı'ş-Şâfiî) adlı kitab eserleri cümlesindendir.,253
riyaziye_0026,,Kavânîn-i Âl-i Osman Der-Mezamîn-i Defter-i Dîvân,Ayn Ali Efendi,"Muhasib, mütefekkir, meslek sâhibi",,,Bâzı karinelere göre Manisa'lı olduğu anlaşılıyor,,1016 (1607),,,,,,,,,,,,Sadr-ı âzam Murad Paşa'nın işareti ile Sultan Birinci Ahmed adına yazılmış maliye eseri; devamı sayfa 254'te.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Maliyezin kanunlarına müteallık 1016 (1607) tarihinde yazdığı kıymetli bir eserdir. Bu eser Şinasî Efendi tarafından Kâtib Çelebi'nin (Düstûru'l-Amel li-İslâhı'l-Halel) risalesi ile beraber basılmıştır. Maliye tarihimizle meşgul olan zevatın istifade edebileceği bir eserdir.,253
riyaziye_0027,,Miftah-ı Rûz-nâme-i Muhammedî,Ayn Ali Efendi,"Muhasib, Mısır Defterdârı",,,,,"1017 (1608) tarihinde Mısır Defterdârı iken, Vâli Mehmed Paşa'nın yardımı ile şerhi 1021 (1612)'ye kadar yazılmış",,,,,,,,,,,,Şeyh Vefâ'nın (Rûz-nâme)sine şerhtir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Bir nüshası Aşir Efendi Kütübhanesindedir.,254
riyaziye_0028,,Asâkir-i Osmaniye'nin miktarına âit risale,Ayn Ali Efendi,Muhasib,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,254
riyaziye_0029,,Kanun-i Osmanî,Ayn Ali Efendi,Muhasib,,,,,,,,,,,,,,,,,"Aldığı emre uygun olarak üç bab üzerine yazdığı eserdir: 1. bab Suçlardan katl, zinâ, şetm hamr (içki) içmek, gasb ve hırsızlığın meydana geliş şartları ile bunların mukabilinde lâzım gelen siyaset ve cezâlar beyanında olup yedi fasıldır. 2. bab Rüsûm-i raiyyet, âid-i Beytü'l-Mal, âidat-ı asâkir ve tîmar'da tasarruflarına dâir olup yedi fasıldır. 3. bab Müslim ve gayr-i müslim reayanın hususî durumlarına taallûk edip bu bab da yedi fasıldır.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,254
riyaziye_0030,,Kavânîni'l-Meâdîn,Ayn Ali Efendi,Muhasib,,,,,,,,,,,,,,,,,Sekiz babdır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,254
riyaziye_0031,,Kanun-ı Mâlî-i Mısır,Ayn Ali Efendi,"Muhasib, Mısır Defterdârı",,,,,,,,,,,,,,,,,Mısır Defterdârı iken Mısır maliyesine dâir yazdığı kanunnamedir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,254
riyaziye_0032,,Müntehabu'l-A'mâl,Ali İbn-i Ahmed,"Riyaziyeci, muvakkıtlık (vakit ayarlama), Fatih Camii muvakkıtı",,,Edirne'de yetişmiştir,,1168 (1754),,,,,,,,,,,,Yirmi beş bab üzerine müretteb irtifa' usulü ve nücûmun ahkâmından bahseden eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Edirne'de yetişen riyaziyecilerden olup bir müddet memleketindeki selâtîn camilerinde muvakkıtlık ettikten sonra İstanbul'a gelmiş ve Fatih Camii muvakkıtlığına tayin olunmuştur.,254
riyaziye_0033,,Tesviyetü'l-Buyût,Ali Efendi «Hâfız»,"Riyaziye müntesiblerinden, Enderûn'da «Kilâr-ı Hâssa» ağalarından",,,,,1178 (1765) tarihinde te'lîf ve tersîm etmiştir,,,,,,,,,,,,"İstanbul arzına göredir; bu cedvel zayîce tertibinde esastır, lögaritma hesablarına ihtiyaç hissetmeden zayîçe tertîbini kolaylaştırır. (Tesviyetü'l-Buyût): istenen vakitte yıldızların durumlarını gösteren zayîçeyi istihraç (çıkarma) cedveline denir.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Enderûn'da «Kilâr-ı Hâssa» ağalarından ve riyaziye müntesiblerindendi.,254
riyaziye_0034,,Nuhbetü'l-Mevakıt,Ali Nazif Efendi,"Riyaziyeci, astronomi",,,,,,Türkçe,,,,,,,,,,,28 bab ve her bab bir kaç fasıl olmak üzere astronomiye ait eser.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Mukaddimesinde Girid Seraskeri Melek Ahmed Paşa'nın kâtiblik hizmetinde bulunduğunu ve kütübhanesinden istifade ettiğini beyan ediyor. Münderecatı hakkında: «Ulemâ-i eslâfın çiyp ve mukantaradan her birisi beyanında olan resâil-i müstakılle-i mu'teberelerini cem' ve tahsîl ve alâ tarîkı'l-mezci zü'l-cenaheyn amel istihracına vaz'-ı esas...) ibaresini tahrîr eyliyor.,255
riyaziye_0035,,Nihayetü'l-Elbab fî Şerh-i Hulâsati'l-Hesab,Atıf Efendi «Kuyucaklı Mehmed Atıf Efendi»,"Fazilet sâhibi, riyazî ilimlerin hesab ve hey'et şubeleri mütehassıslarından","1263 (1847) tarihinde İstanbul'da irtihal etmiştir, Edirnekapısı haricinden Mustafapaşa Tekyesi yolu ile Eyyüb'e giden caddenin sol tarafında medfundur",Hal tercemesi (Âlimler Faslı)nda yazılı Atıf Bey'in dedesidir,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Bir müddet niyabetle (hâkimlikle) hizmet ifa ettikten sonra vefat etmiştir. Bir tanesi Yahya Efendi Kütübhanesinde mevcuttur.,255
riyaziye_0036,,Teshîlü'l-Edrâk Fî Tercemeti Teşrîhi'l-Eflâk,Atıf Efendi «Kuyucaklı Mehmed Atıf Efendi»,Riyaziyeci,,,,,"1247 (1831), Şam Kadısı iken",,,Tercüme (genişletilmiş),Tercüme ve genişletme,Teşrîhu'l-Eflâk,İslâm riyaziyecilerinden Bahaeddin Amilî,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Mütercim bu eserini Şam Kadısı iken genişleterek meydana getirmiştir.,255
riyaziye_0037,,,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,"Riyaziye âlimi, astronomi şubesi","903 (1498), vefatı",,,,,,,,,,,,,,,,"Osmanlı riyaziye âlimleri içinde, hususiyle astronomi şu'besinde eser yazan zatlardandır.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",Ömrünün sonlarında Mısır'a giderek Câmiu'l-Ezher'e muvakkıt olmuştur. Dipnot: 728 (1327)'de vefat eden Ahmed Şerafeddin Mardini de riyaziyecilerin faziletlilerinden bir zat olup (Nazmu'd-Dürer Fî Ma'rifeti Menâzili'l-Kamer) isminde bir eseri vardır.,255
riyaziye_0038,,Keşfü'l-Gavâmız fî İlmi'l-Ferâiz,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0039,,Lem'atü'l-Hisab,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0040,,Tashîhu'l-Mesâhati fî Tarafi'l-Cîbi Mine'r-Rub'ı,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0041,,Kurretü'n-Nâzırı fî Ma'rifeti Vaz'ı Hututi Fazlı Dâir,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0042,,Kurretü'l-Aynı fî Beyâni'l-Mezhebîn fî İlmi'l-Ferâiz,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0043,,Lem'atü'l-Şemsiyyeti Alâ Tuhfeti'l-Kudsiyyeti,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0044,,Risaletü'l-Ameli Bi'r-Rub'ı'l-Necîb,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0045,,İzhâru Sırru'l-Mevdu,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0046,,Kifayetü'l-Kunu' fî'l-Ameli Bi'r-Rub'i'l-Maktu',Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0047,,Dırazü'l-Mezâhib,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0048,,Şerh-i Yaseminiye fî İlmi'l-Cebri ve'l-Mukabele,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0049,,Mekasıdu'd-Tullab fî Ma'rifeti'l-Mesâili Bi'l-Hisab,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0050,,Tuhfetü'l-Ahbab fi'l-Hisab,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0051,,Nisabu'l-Cibr ve'l-Mukabele,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0052,,Tedrîbu'l-Âmili bi'r-Rub'ı'l-Kâmil,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0053,,Lükatü'l-Cevahir fî Tahdîdi'l-Hutût ve'd-Devâir,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0054,,ed-Dürrü'l-Mensûr fi'l-Ameli Bi'r-Rub'ı'd-Düstûr,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0055,,ed-Turuku'l-Seniyye fi'l-Ameli Bi'n-Nisbeti's-Seniyye,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0056,,el-Fethiyye fî-l-A'mâli'l-Ciybiyye,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0057,,Hâvi'l-Muhtasarat fi'l-İlmi bi'r-Rub'ı'l-Mukanterat,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
riyaziye_0058,,Risaletün fî Resmi'l-Münharifat ale'l-Hıytan,Bedreddin Mehmed el-Mardinî «Sebt Mardinî»,Riyaziye âlimi,,,,,,,,,,,,,,,,,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Riyaziyeciler Faslı",,256
